ID,Overspeed,Highspeedbrake,Harshacceleration,Harshdeceleration,Kilo,Fuel,Brakes,Range,Speed,RPM,Accelerator pedal position,Engine fuel rate,ID,Date,Overspeed,Highspeedbrake,Harshacceleration,Harshdeceleration,Kilo,Fuel,Brakes,Range,Speed,RPM,Accelerator pedal position,Engine fuel rate
14807406156,0,1,63,67,1975.57,349.29,791,1.354626407,43.24798841,987.5170053,12.38057754,9.448791444,10020442627,2018/7/8,3,3,35,29,533.26,234.11,341,4.581046656,41.10094675,960.2143742,26.26022305,17.18491326
14807406157,0,0,14,10,648.37,111.02,432,0.475529987,26.9758185,814.1789474,15.73654135,6.789273183,10020442686,2018/7/3,24,33,41,39,802.28,309.59,408,7.616262607,56.37647433,1124.34082,36.4094329,22.89126895
14807406159,0,0,47,40,1487.64,262.77,8,1.74580305,35.94440464,966.9898245,21.81653523,8.700063597,10020442686,2018/7/4,11,12,20,27,562.06,205.86,361,4.582470895,50.80985064,1087.434426,31.56214605,20.55894188
14807406167,0,1,18,21,1541.79,307.3,635,1.905992807,41.35946457,991.4949664,26.56644295,10.78269016,10020442686,2018/7/5,1,3,23,15,384.7,157.55,240,3.251617361,35.99327351,913.1325879,24.39840256,16.22220447
14807406984,0,0,292,533,3047.84,591.85,1212,1.9186234,52.47863442,1087.188427,27.58406549,11.53380348,10020442686,2018/7/6,63,34,26,25,654.09,281.33,231,6.677700388,58.37259142,1143.65852,40.21072641,25.70872369
14807406995,3,78,122,110,4188.77,818.53,1690,2.217062093,59.64536724,1188.030298,31.28589483,12.61348454,10020442686,2018/7/7,0,0,8,9,142.84,38.51,155,1.014476141,31.52294425,904.9473684,17.11368421,12.41631579
14807407007,2,3,31,31,2414.84,420.13,1313,1.732034903,48.45354791,1026.292066,24.47760857,9.961900733,10020442686,2018/7/8,21,10,87,68,685.93,260.05,777,3.95928706,41.73033493,993.2326311,23.35401165,15.33946661
14807407010,0,0,223,358,2993.4,486.66,1147,2.277794591,51.2632758,1031.770336,24.98717962,9.680810053,10020443234,2018/7/3,3,7,32,31,511.19,228.41,357,4.357457802,34.9014239,920.9134948,27.00392157,16.68382353
14807407597,10,12,110,129,2077.33,525.68,1510,6.564967867,38.38870575,1043.176641,23.27108613,10.85290131,10020443234,2018/7/4,4,16,33,28,510.43,197.56,656,4.592139966,37.46683645,959.2312762,23.95134811,15.23708808
14807407641,0,0,18,14,1740.48,313.78,735,2.868276415,40.83911987,1005.492319,21.21277004,9.417354777,10020443234,2018/7/5,0,2,33,28,594.62,201.99,622,2.737891763,41.3220762,915.8830576,19.65978323,13.73616657
14807408282,0,0,99,83,386.74,45.54,456,0.751188248,13.69780116,1111.51123,9.955175781,1.915246582,10020443234,2018/7/6,1,5,39,47,702.87,323.26,603,6.080033337,44.15678199,1048.829892,32.98662734,20.77030482
14807408523,0,1,10,10,1584.73,274.55,379,2.004828104,20.35810509,942.6359638,20.54385054,8.931832338,10020443234,2018/7/7,4,8,15,20,543.88,177.78,409,4.230155733,45.69360229,1077.515131,24.37083906,15.49666437
14807412304,6,60,131,131,4044.84,1261.14,709,8.73772879,56.89127001,967.2492371,34.24695359,18.4327002,10020443234,2018/7/8,4,4,51,35,536.81,245.49,320,4.593062985,40.21379028,958.3098291,29.87692308,17.83026175
14807414034,0,0,92,100,825.75,114.53,1016,1.992674449,29.60776713,1236.912814,22.98155878,5.309815059,10020443365,2018/7/3,4,80,76,79,1445.97,449.72,1936,10.1135459,64.37235065,1119.139397,36.8691042,20.35521024
14807415293,0,38,265,253,4390.31,1564.99,5008,7.963891188,43.72976236,974.8833412,22.82296892,15.2693958,10020443365,2018/7/4,4,59,45,64,1202.57,316.35,965,8.847271213,63.80483997,1116.656591,29.81704297,17.79903496
14807415834,167,80,64,57,2806.15,1019.1,577,11.64577378,54.74444869,1206.622587,29.34256688,22.00703522,10020443365,2018/7/5,2,14,26,31,546.27,190.22,650,2.804995549,34.23802163,921.9022323,15.52327408,11.58453907
14807416731,76,137,130,108,3279.23,908.88,2066,4.566842467,55.46629213,1080.09335,27.56636461,15.84107809,10020443365,2018/7/6,5,127,50,64,1549.31,468.49,1189,12.09666275,67.86193502,1133.757901,34.9937953,20.17283271
14807416827,0,10,40,32,1831.81,601.76,597,12.10022452,39.4742067,1037.493849,22.73404306,17.21841732,10020443365,2018/7/7,2,79,34,31,1090.34,330.27,781,6.965340808,57.27442294,1062.494452,28.73486042,17.83466356
14807421160,0,2,33,32,2410.24,530.51,433,3.217932246,46.25286378,1074.941199,30.67501432,12.66660622,10020443365,2018/7/8,1,37,20,22,503.86,169.09,418,3.502741714,43.18064856,959.5403892,26.45778302,15.37759434
14807421835,0,8,47,55,2654.44,410.95,539,1.989618089,47.25446836,1051.97281,23.54834777,8.767564966,10020443429,2018/7/3,55,70,38,36,944.2,311.51,499,7.2135784,63.13137931,1192.692092,34.56122449,21.90678571
14807426497,43,447,234,255,7163.83,1911.22,1953,8.518487231,63.64053342,994.6816973,18.62335728,16.28016095,10020443429,2018/7/4,0,0,16,14,50.17,34.92,143,0.229119691,14.34093233,1231.454338,22.89589041,11.47899543
14807426637,0,0,182,182,990.46,300.3,5433,0.13730033,11.86976362,798.6722047,9.177809606,3.7524778,10020443429,2018/7/5,47,74,52,70,702.4,262.97,727,5.454860104,50.50603298,1177.324389,29.20996646,18.19242932
14807426648,0,0,101,109,491.91,65.89,288,3.777160912,27.7434692,1422.133399,33.60355731,5.873493083,10020443429,2018/7/6,12,51,36,34,611.29,248.78,455,5.09185984,56.09368649,1196.734159,39.98922068,25.06026948
14807426658,4,31,60,53,2326.51,872.88,2421,1.061245957,41.14634483,1122.085721,21.92930551,16.6012535,10020443429,2018/7/7,0,0,0,0,0.11,0.98,0,0.001272091,0,493.7830189,1.396226415,2.111320755
14807426721,0,0,119,139,443.95,235.35,1178,0.205703224,17.41832964,1014.591143,22.0943211,10.24762795,10020443429,2018/7/8,7,14,0,0,140.46,41.06,182,0.890145934,27.12760054,1073.209184,24.54591837,15.09081633
14807426805,0,0,505,452,1683.99,212.84,1595,3.241649884,37.94813071,1518.19923,30.44136369,5.080716955,10020443580,2018/7/3,0,0,18,30,86.99,25.56,231,0.400984062,10.29934629,729.6160043,4.201074114,3.451987111
14807426828,0,0,43,39,484.49,106.8,673,2.165116109,19.23404918,1123.453399,18.98949537,7.331745623,10020443580,2018/7/4,0,0,50,52,324.65,106.36,508,2.481273434,24.95408933,831.2063123,13.57554817,8.737674419
14807426837,7,17,56,54,1193.68,438.41,862,4.665459564,36.68031643,1010.059029,22.24258965,17.96113932,10020443580,2018/7/5,0,0,98,108,467.58,157.04,779,3.013099518,28.96339099,864.817734,14.29950739,9.620862069
14807426872,0,0,79,76,1400.89,203.32,706,6.646477787,39.49654302,1528.627359,35.46750558,6.698498072,10020443580,2018/7/6,0,0,92,81,340.46,116.28,928,2.124384384,22.98913793,816.694474,11.84675877,7.753825717
